,iata_code,name,coordinates,iso_region
27441,LNS,Lancaster Airport,"-76.29609680175781, 40.121700286865234",US-PA
27442,LOL,Derby Field,"-118.565002441, 40.0663986206",US-NV
27443,BBX,Wings Field,"-75.2650985718, 40.1375007629",US-PA
27444,LOT,Lewis University Airport,"-88.09619904, 41.6072998",US-IL
27445,LOU,Bowman Field,"-85.6636962891, 38.2280006409",US-KY
27446,LOZ,London-Corbin Airport/Magee Field,"-84.08489990230001, 37.0821990967",US-KY
27447,LPC,Lompoc Airport,"-120.468002319, 34.665599823",US-CA
27449,LQK,Pickens County Airport,"-82.70290374759999, 34.8100013733",US-SC
27451,LRD,Laredo International Airport,"-99.46160125732422, 27.543800354003906",US-TX
27452,LRF,Little Rock Air Force Base,"-92.14969635010002, 34.916900634799994",US-AR
27454,LRJ,Le Mars Municipal Airport,"-96.1937027, 42.77799988",US-IA
27456,LRU,Las Cruces International Airport,"-106.9219970703125, 32.289398193359375",US-NM
27458,LSB,Lordsburg Municipal Airport,"-108.692001343, 32.3334999084",US-NM
27459,LSE,La Crosse Municipal Airport,"-91.256699, 43.879002",US-WI
27460,LSF,Lawson Army Air Field (Fort Benning),"-84.9913024902, 32.337299346900004",US-GA
27461,LSK,Lusk Municipal Airport,"-104.404998779, 42.753799438499996",US-WY
27462,LSN,Los Banos Municipal Airport,"-120.8690033, 37.06290054",US-CA
27463,LSV,Nellis Air Force Base,"-115.033996582, 36.2361984253",US-NV
27464,LTS,Altus Air Force Base,"-99.2667007446, 34.667098999",US-OK
27467,LUF,Luke Air Force Base,"-112.383003235, 33.534999847399995",US-AZ
27469,LUK,Cincinnati Municipal Airport Lunken Field,"-84.41860199, 39.10329819",US-OH
27470,LUL,Hesler Noble Field,"-89.172203064, 31.672599792499998",US-MS
27474,LVK,Livermore Municipal Airport,"-121.819999695, 37.6934013367",US-CA
27475,LVL,Lawrenceville Brunswick Municipal Airport,"-77.79429626459999, 36.7728004456",US-VA
27476,LVM,Mission Field,"-110.447998047, 45.6994018555",US-MT
27478,LVS,Las Vegas Municipal Airport,"-105.141998291, 35.6542015076",US-NM
27480,LWB,Greenbrier Valley Airport,"-80.3994979858, 37.8582992554",US-WV
27481,LWC,Lawrence Municipal Airport,"-95.21659851, 39.01119995",US-KS
27482,LWL,Wells Municipal Airport/Harriet Field,"-114.92199707, 41.117099762",US-NV
27483,LWM,Lawrence Municipal Airport,"-71.1233978271, 42.717201232899995",US-MA
27484,LWS,Lewiston Nez Perce County Airport,"-117.01499938964844, 46.3745002746582",US-ID
27485,LWT,Lewistown Municipal Airport,"-109.46700286865234, 47.04930114746094",US-MT
27486,LWV,Lawrenceville Vincennes International Airport,"-87.6054992676, 38.7643013",US-IL
27488,LXN,Jim Kelly Field,"-99.7772979736, 40.791000366199995",US-NE
27490,LXV,Lake County Airport,"-106.317001343, 39.220298767100005",US-CO
27492,LYH,Lynchburg Regional Preston Glenn Field,"-79.20040130615234, 37.326698303222656",US-VA
27493,LYO,Lyons-Rice County Municipal Airport,"-98.22689819, 38.34280014",US-KS
27496,LZU,Gwinnett County Briscoe Field,"-83.96240234, 33.97809982",US-GA
27505,PCU,Poplarville Pearl River County Airport,"-89.504501342773, 30.785999298096",US-MS
27547,MLK,Malta Airport,"-107.918998718, 48.366901397700005",US-MT
27562,MAC,Macon Downtown Airport,"-83.56199646, 32.82210159",US-GA
27563,MAE,Madera Municipal Airport,"-120.111999512, 36.9886016846",US-CA
27564,MAF,Midland International Airport,"-102.2020034790039, 31.9424991607666",US-TX
27569,MAW,Malden Regional Airport,"-89.99220276, 36.6006012",US-MO
27571,MBG,Mobridge Municipal Airport,"-100.4079971, 45.54650116",US-SD
27572,MBL,Manistee Co Blacker Airport,"-86.24690247, 44.2723999",US-MI
27573,DXE,Bruce Campbell Field,"-90.103104, 32.438702",US-MS
27574,MBS,MBS International Airport,"-84.07959747314453, 43.532901763916016",US-MI
27576,MBY,Omar N Bradley Airport,"-92.4270019531, 39.463901519800004",US-MO
27577,MCB,Mc Comb/Pike County Airport/John E Lewis Field,"-90.47190094, 31.17849922",US-MS
27578,MCC,Mc Clellan Airfield,"-121.401001, 38.66759872",US-CA
27579,MCD,Mackinac Island Airport,"-84.63729858, 45.86489868",US-MI
27580,MCE,Merced Regional Macready Field,"-120.5139999, 37.28469849",US-CA
27581,MCF,Mac Dill Air Force Base,"-82.52120209, 27.84930038",US-FL
27582,MCI,Kansas City International Airport,"-94.713898, 39.2976",US-MO
27583,MCK,Mc Cook Ben Nelson Regional Airport,"-100.5920029, 40.20629883",US-NE
27584,MCN,Middle Georgia Regional Airport,"-83.64920043945312, 32.69279861450195",US-GA
27585,MCO,Orlando International Airport,"-81.30899810791016, 28.429399490356445",US-FL
27586,MCW,Mason City Municipal Airport,"-93.3312988281, 43.157798767100005",US-IA
27589,MDA,Martindale Army Heliport,"-98.3777999878, 29.4312992096",US-TX
27590,MDD,Midland Airpark,"-102.100997925, 32.0364990234",US-TX
27592,MDH,Southern Illinois Airport,"-89.25199890136719, 37.778099060058594",US-IL
27594,XMD,Madison Municipal Airport,"-97.08589935, 44.01599884",US-SD
27595,MDT,Harrisburg International Airport,"-76.7633972168, 40.1935005188",US-PA
27596,MDW,Chicago Midway International Airport,"-87.75240325927734, 41.7859992980957",US-IL
27597,MDF,Taylor County Airport,"-90.30329895, 45.10100174",US-WI
27599,MEI,Key Field,"-88.75189971923828, 32.33259963989258",US-MS
27601,MEM,Memphis International Airport,"-89.97669982910156, 35.04240036010742",US-TN
27602,MER,Castle Airport,"-120.5680008, 37.38050079",US-CA
27603,MEV,Minden-Tahoe Airport,"-119.7509995, 39.00030136",US-NV
27607,MFD,Mansfield Lahm Regional Airport,"-82.5166015625, 40.82139968869999",US-OH
27608,MFE,Mc Allen Miller International Airport,"-98.23860168, 26.17580032",US-TX
27609,MFI,Marshfield Municipal Airport,"-90.18930053710001, 44.6369018555",US-WI
27610,MFR,Rogue Valley International Medford Airport,"-122.87300109863281, 42.37419891357422",US-OR
27611,MFV,Accomack County Airport,"-75.761100769, 37.646900177",US-VA
27612,MGC,Michigan City Municipal Airport,"-86.8211975098, 41.703300476100004",US-IN
27613,MGE,Dobbins Air Reserve Base,"-84.51629639, 33.91540146",US-GA
27615,MGJ,Orange County Airport,"-74.26460266, 41.50999832",US-NY
27616,MGM,Montgomery Regional (Dannelly Field) Airport,"-86.39399719, 32.30059814",US-AL
27618,MGR,Moultrie Municipal Airport,"-83.8032989502, 31.084899902300002",US-GA
27619,MGW,Morgantown Municipal Walter L. Bill Hart Field,"-79.91629791, 39.64289856",US-WV
27620,MGY,Dayton-Wright Brothers Airport,"-84.224899292, 39.5890007019",US-OH
27621,MHE,Mitchell Municipal Airport,"-98.03859710690001, 43.774799346900004",US-SD
27622,MHK,Manhattan Regional Airport,"-96.6707992553711, 39.14099884033203",US-KS
27623,MHL,Marshall Memorial Municipal Airport,"-93.20290374759999, 39.0957984924",US-MO
27625,MHR,Sacramento Mather Airport,"-121.2979965, 38.55390167",US-CA
27626,MHT,Manchester Airport,"-71.43569946289062, 42.93259811401367",US-NH
27627,MHV,Mojave Airport,"-118.1520004, 35.05939865",US-CA
27628,MIA,Miami International Airport,"-80.29060363769531, 25.79319953918457",US-FL
27631,MIE,Delaware County Johnson Field,"-85.3958969116211, 40.2422981262207",US-IN
27633,MIT,Shafter Airport - Minter Field,"-119.192002, 35.507401",US-CA
27638,MJX,Ocean County Airport,"-74.29239655, 39.92750168",US-NJ
27640,MKC,Charles B. Wheeler Downtown Airport,"-94.5927963256836, 39.123199462890625",US-MO
27641,MKE,General Mitchell International Airport,"-87.89659881591797, 42.947200775146484",US-WI
27642,MKG,Muskegon County Airport,"-86.23819733, 43.16949844",US-MI
27644,MKL,Mc Kellar Sipes Regional Airport,"-88.91560364, 35.59989929",US-TN
27650,MRK,Marco Island Airport,"-81.6725006104, 25.9950008392",US-FL
27651,MLB,Melbourne International Airport,"-80.64530181884766, 28.102800369262695",US-FL
27656,MLI,Quad City International Airport,"-90.50749969482422, 41.44850158691406",US-IL
27659,MLS,Frank Wiley Field,"-105.88600158691406, 46.428001403808594",US-MT
27661,MLU,Monroe Regional Airport,"-92.0376968383789, 32.51089859008789",US-LA
27663,MMH,Mammoth Yosemite Airport,"-118.8379974, 37.62409973",US-CA
27664,MMI,McMinn County Airport,"-84.56259918, 35.39730072",US-TN
27666,MML,Southwest Minnesota Regional Airport - Marshall/Ryan Field,"-95.82189941, 44.45050049",US-MN
27667,MMS,Selfs Airport,"-90.28959655759999, 34.2314987183",US-MS
27668,MMT,Mc Entire Joint National Guard Base,"-80.80130005, 33.92079926",US-SC
27669,MMU,Morristown Municipal Airport,"-74.41490173339844, 40.799400329589844",US-NJ
27675,MNN,Marion Municipal Airport,"-83.06349945070001, 40.6161994934",US-OH
27682,MOB,Mobile Regional Airport,"-88.242797851562, 30.691200256348",US-AL
27683,MOD,Modesto City Co-Harry Sham Field,"-120.9540024, 37.62580109",US-CA
27686,MOT,Minot International Airport,"-101.27999877929688, 48.2593994140625",US-ND
27690,RMY,Mariposa Yosemite Airport,"-120.040000916, 37.5108985901",US-CA
27694,MPV,Edward F Knapp State Airport,"-72.56230164, 44.20349884",US-VT
27695,MPZ,Mount Pleasant Municipal Airport,"-91.51110077, 40.94660187",US-IA
27696,MQB,Macomb Municipal Airport,"-90.65239715579999, 40.520099639899996",US-IL
27697,MEO,Dare County Regional Airport,"-75.69550323, 35.91899872",US-NC
27699,CTH,Chester County G O Carlson Airport,"-75.8655014, 39.97900009",US-PA
27702,MQY,Smyrna Airport,"-86.5201034546, 36.0089988708",US-TN
27703,MRB,Eastern WV Regional Airport/Shepherd Field,"-77.98459625, 39.40190125",US-WV
27704,MRC,Maury County Airport,"-87.17890167239999, 35.5541000366",US-TN
27705,MRF,Marfa Municipal Airport,"-104.017997, 30.371099",US-TX
27710,MRY,Monterey Peninsula Airport,"-121.84300231933594, 36.58700180053711",US-CA
27712,MSL,Northwest Alabama Regional Airport,"-87.61019897, 34.74530029",US-AL
27713,MSN,Dane County Regional Truax Field,"-89.3375015258789, 43.13990020751953",US-WI
27714,MSO,Missoula International Airport,"-114.0910034, 46.91630173",US-MT
27715,MSP,Minneapolis-St Paul International/Wold-Chamberlain Airport,"-93.22180175780001, 44.881999969499994",US-MN
27716,MSS,Massena International Richards Field,"-74.84559631347656, 44.93579864501953",US-NY
27718,MSY,Louis Armstrong New Orleans International Airport,"-90.25800323486328, 29.99340057373047",US-LA
27720,MTC,Selfridge Air National Guard Base Airport,"-82.836919, 42.613463",US-MI
27722,MTJ,Montrose Regional Airport,"-107.893997192, 38.509799957300004",US-CO
27731,MUO,Mountain Home Air Force Base,"-115.872002, 43.043598",US-ID
27734,MVC,Monroe County Airport,"-87.3509979248, 31.458000183099998",US-AL
27737,MVL,Morrisville Stowe State Airport,"-72.6139984131, 44.53459930419999",US-VT
27740,MVY,Martha's Vineyard Airport,"-70.6143035889, 41.3931007385",US-MA
27741,MWA,Williamson County Regional Airport,"-89.01110077, 37.75500107",US-IL
27743,MWH,Grant County International Airport,"-119.3199997, 47.20769882",US-WA
27745,MWL,Mineral Wells Airport,"-98.0602035522, 32.7816009521",US-TX
27752,MYF,Montgomery-Gibbs Executive Airport,"-117.139999, 32.8157",US-CA
27754,MYL,McCall Municipal Airport,"-116.1009979, 44.88970184",US-ID
27755,MYR,Myrtle Beach International Airport,"-78.9282989502, 33.6796989441",US-SC
27756,MYV,Yuba County Airport,"-121.5699997, 39.09780121",US-CA
27759,MZJ,Pinal Airpark,"-111.32800293, 32.5106010437",US-AZ
27760,MZZ,Marion Municipal Airport,"-85.6797027588, 40.4898986816",US-IN
27761,CTX,Cortland County Chase Field,"-76.21489716, 42.59260178",US-NY
27767,SXY,Sidney Municipal Airport,"-75.416000366211, 42.302600860596",US-NY
27777,ESP,Stroudsburg Pocono Airport,"-75.1605987549, 41.0358009338",US-PA
27795,NBG,New Orleans NAS JRB/Alvin Callender Field,"-90.03500366, 29.82530022",US-LA
27796,NHX,Naval Outlying Field Barin,"-87.63529968259999, 30.389099121100003",US-AL
27798,DGN,Dahlgren Naval Surface Warfare Center Airport,"-77.03720093, 38.33250046",US-VA
27800,NEL,Lakehurst Maxfield Field Airport,"-74.353302, 40.03329849",US-NJ
27801,NEN,Whitehouse Naval Outlying Field,"-81.87190246582, 30.353900909424",US-FL
27802,NEW,Lakefront Airport,"-90.028297424316, 30.042400360107",US-LA
27807,NFL,Fallon Naval Air Station,"-118.7009964, 39.41659927",US-NV
27808,FWH,NAS Fort Worth JRB/Carswell Field,"-97.4414978, 32.76919937",US-TX
27813,NGZ,Alameda Naval Air Station,"-122.31999969482422, 37.78889846801758",US-CA
27817,NHZ,Brunswick Executive Airport,"-69.93859863, 43.89220047",US-ME
27826,NKX,Miramar Marine Corps Air Station - Mitscher Field,"-117.1429977, 32.86840057",US-CA
27828,NLC,Lemoore Naval Air Station (Reeves Field) Airport,"-119.9520035, 36.33300018",US-CA
27834,NPA,Pensacola Naval Air Station/Forrest Sherman Field,"-87.31860352, 30.35269928",US-FL
27836,NQA,Millington Regional Jetport Airport,"-89.870300292969, 35.356700897217",US-TN
27838,NQI,Kingsville Naval Air Station,"-97.8097000122, 27.5072002411",US-TX
27839,NQX,Naval Air Station Key West/Boca Chica Field,"-81.68890381, 24.57579994",US-FL
27841,NRB,Naval Station Mayport (Admiral David L. Mcdonald Field),"-81.42469788, 30.39109993",US-FL
27844,NRS,Naval Outlying Field Imperial Beach (Ream Field),"-117.1169968, 32.56669998",US-CA
27845,NSE,Whiting Field Naval Air Station - North,"-87.02189636, 30.7241993",US-FL
27847,NTD,Point Mugu Naval Air Station (Naval Base Ventura Co),"-119.121002197, 34.120300293",US-CA
27863,YUM,Yuma MCAS/Yuma International Airport,"-114.6060028, 32.65660095",US-AZ
27867,NZY,North Island Naval Air Station-Halsey Field,"-117.2149963, 32.69919968",US-CA
27868,NVN,Nervino Airport,"-120.352996826, 39.8185005188",US-CA
27876,COA,Columbia Airport,"-120.415000916, 38.030399322499996",US-CA
27879,ODC,Oakdale Airport,"-120.8000031, 37.75630188",US-CA
27886,EYR,Yerington Municipal Airport,"-119.157997131, 39.0041007996",US-NV
27905,OAJ,Albert J Ellis Airport,"-77.61209869380001, 34.8292007446",US-NC
27906,OAK,Metropolitan Oakland International Airport,"-122.221001, 37.721298",US-CA
27907,OAR,Marina Municipal Airport,"-121.762001, 36.68190002",US-CA
27908,OBE,Okeechobee County Airport,"-80.8498001099, 27.262800216699997",US-FL
27910,OCF,Ocala International Airport - Jim Taylor Field,"-82.22419739, 29.17259979",US-FL
27911,OCH,A L Mangham Jr. Regional Airport,"-94.70950317, 31.57799911",US-TX
27913,OCW,Warren Field,"-77.049797058105, 35.570499420166",US-NC
27916,OEA,O'Neal Airport,"-87.5522003174, 38.6913986206",US-IN
27919,OEO,L O Simenstad Municipal Airport,"-92.691902160645, 45.310001373291",US-WI
27920,OFF,Offutt Air Force Base,"-95.912498474121, 41.118301391602",US-NE
27921,OFK,Karl Stefan Memorial Airport,"-97.435096740723, 41.985500335693",US-NE
27923,OGA,Searle Field,"-101.7699966, 41.11949921",US-NE
27924,OGB,Orangeburg Municipal Airport,"-80.859497070312, 33.456798553467",US-SC
27925,OGD,Ogden Hinckley Airport,"-112.0120010376, 41.195899963379",US-UT
27927,OGS,Ogdensburg International Airport,"-75.46549987790002, 44.6819000244",US-NY
27928,OIC,Lt Warren Eaton Airport,"-75.524101257324, 42.566600799561",US-NY
27929,OIL,Splane Memorial Airport,"-79.7449, 41.4813",US-PA
27932,OJC,Johnson County Executive Airport,"-94.73760223, 38.84759903",US-KS
27933,OCN,Oceanside Municipal Airport,"-117.35399627686, 33.217300415039",US-CA
27934,OKC,Will Rogers World Airport,"-97.60070037841797, 35.39310073852539",US-OK
27935,ODW,AJ Eisenberg Airport,"-122.674003601, 48.251499176",US-WA
27936,OKK,Kokomo Municipal Airport,"-86.05899810791, 40.528198242188",US-IN
27937,OKM,Okmulgee Regional Airport,"-95.948699951172, 35.668098449707",US-OK
27938,OKS,Garden County Airport,"-102.35500335693, 41.401000976562",US-NE
27939,WGO,Winchester Regional Airport,"-78.14440155, 39.14350128",US-VA
27942,OLD,"Dewitt Field,Old Town Municipal Airport","-68.67430115, 44.95280075",US-ME
27944,OLF,L M Clayton Airport,"-105.574996948, 48.094501495399996",US-MT
27946,OLM,Olympia Regional Airport,"-122.9029999, 46.9693985",US-WA
27949,OLV,Olive Branch Airport,"-89.78690338130001, 34.9786987305",US-MS
27953,OMA,Eppley Airfield,"-95.89409637451172, 41.303199768066406",US-NE
27955,OMK,Omak Airport,"-119.517997742, 48.4644012451",US-WA
27960,ONO,Ontario Municipal Airport,"-117.01399993896, 44.020500183105",US-OR
27962,ONT,Ontario International Airport,"-117.60099792480469, 34.055999755859375",US-CA
27971,NCO,Quonset State Airport,"-71.412101745605, 41.597099304199",US-RI
27976,ORD,Chicago O'Hare International Airport,"-87.90480042, 41.97859955",US-IL
27978,ORF,Norfolk International Airport,"-76.20120239257812, 36.89459991455078",US-VA
27980,ORH,Worcester Regional Airport,"-71.87570190429688, 42.26729965209961",US-MA
27983,ESD,Orcas Island Airport,"-122.910003662, 48.7081985474",US-WA
27986,OSH,Wittman Regional Airport,"-88.55699920654297, 43.98440170288086",US-WI
27987,OSU,Ohio State University Airport,"-83.072998046875, 40.0797996521",US-OH
27990,OTH,Southwest Oregon Regional Airport,"-124.24600219726562, 43.41709899902344",US-OR
27991,OTM,Ottumwa Regional Airport,"-92.44789886, 41.10660172",US-IA
27992,OUN,University of Oklahoma Westheimer Airport,"-97.472099, 35.2456",US-OK
27993,OVE,Oroville Municipal Airport,"-121.62200164795, 39.487800598145",US-CA
27998,OWA,Owatonna Degner Regional Airport,"-93.26059723, 44.12340164",US-MN
27999,OWB,Owensboro Daviess County Airport,"-87.16680145, 37.74010086",US-KY
28000,OWD,Norwood Memorial Airport,"-71.1728973389, 42.1904983521",US-MA
28002,OWK,Central Maine Airport of Norridgewock,"-69.86650085, 44.71549988",US-ME
28005,OCE,Ocean City Municipal Airport,"-75.124000549316, 38.310398101807",US-MD
28006,OXC,Waterbury Oxford Airport,"-73.135200500488, 41.47859954834",US-CT
28007,OXD,Miami University Airport,"-84.78440094, 39.50230026",US-OH
28009,OXR,Oxnard Airport,"-119.20700073242, 34.200801849365",US-CA
28011,KOY,Olga Bay Seaplane Base,"-154.229995728, 57.161499023400005",US-AK
28012,STQ,St Marys Municipal Airport,"-78.502601623535, 41.412498474121",US-PA
28013,OZA,Ozona Municipal Airport,"-101.20300292969, 30.735300064087",US-TX
28014,OZR,Cairns AAF (Fort Rucker) Air Field,"-85.71340179, 31.27569962",US-AL
28105,BSQ,Bisbee Municipal Airport,"-109.883003235, 31.3640003204",US-AZ
28107,PXL,Polacca Airport,"-110.422996521, 35.7916984558",US-AZ
28108,GLB,San Carlos Apache Airport,"-110.666999817, 33.353099823",US-AZ
28109,HBK,Holbrook Municipal Airport,"-110.138000488, 34.940700531",US-AZ
28114,CWX,Cochise County Airport,"-109.8949966, 32.24539948",US-AZ
28116,PAE,Snohomish County (Paine Field) Airport,"-122.2819977, 47.90629959",US-WA
28117,PAH,Barkley Regional Airport,"-88.7738037109375, 37.06079864501953",US-KY
28118,PAM,Tyndall Air Force Base,"-85.57540130619999, 30.0695991516",US-FL
28119,PJB,Payson Airport,"-111.33899688721, 34.256801605225",US-AZ
28120,PAO,Palo Alto Airport of Santa Clara County,"-122.114997864, 37.461101532",US-CA
28121,KPB,Point Baker Seaplane Base,"-133.623001099, 56.3518981934",US-AK
28122,PBF,Grider Field,"-91.9356002808, 34.1730995178",US-AR
28123,PBG,Plattsburgh International Airport,"-73.46810150146484, 44.650901794433594",US-NY
28125,PBI,Palm Beach International Airport,"-80.09559631347656, 26.68320083618164",US-FL
28126,PVL,Pike County-Hatcher Field,"-82.56639862, 37.5617981",US-KY
28132,PCD,Prairie Du Chien Municipal Airport,"-91.12370300293, 43.019298553467",US-WI
28133,PDK,DeKalb Peachtree Airport,"-84.3020019531, 33.8755989075",US-GA
28134,PDT,Eastern Oregon Regional At Pendleton Airport,"-118.841003418, 45.695098877",US-OR
28135,PDX,Portland International Airport,"-122.5979996, 45.58869934",US-OR
28139,PEQ,Pecos Municipal Airport,"-103.51100158691, 31.382400512695",US-TX
28143,PGA,Page Municipal Airport,"-111.447998, 36.92610168",US-AZ
28144,PGD,Charlotte County Airport,"-81.9905014, 26.92020035",US-FL
28145,PGR,Kirk Field,"-90.50779724, 36.06290054",US-AR
28146,PGV,Pitt Greenville Airport,"-77.38529968, 35.6352005",US-NC
28148,PHD,Harry Clever Field,"-81.419700622559, 40.470901489258",US-OH
28149,PHF,Newport News Williamsburg International Airport,"-76.49299622, 37.13190079",US-VA
28151,ADR,Robert F Swinnie Airport,"-79.5261993408, 33.4516983032",US-SC
28152,PHK,Palm Beach County Glades Airport,"-80.69339752, 26.78499985",US-FL
28153,PHL,Philadelphia International Airport,"-75.24109649658203, 39.87189865112305",US-PA
28154,PHN,St Clair County International Airport,"-82.52890015, 42.9109993",US-MI
28155,PHP,Philip Airport,"-101.59899902344, 44.048599243164",US-SD
28156,PHT,Henry County Airport,"-88.38289642330001, 36.338199615499995",US-TN
28157,PHX,Phoenix Sky Harbor International Airport,"-112.01200103759766, 33.43429946899414",US-AZ
28158,PIA,General Wayne A. Downing Peoria International Airport,"-89.6932983398, 40.664199829100006",US-IL
28159,PIB,Hattiesburg Laurel Regional Airport,"-89.33709716796875, 31.467100143432617",US-MS
28160,PIE,St Petersburg Clearwater International Airport,"-82.68740082, 27.91020012",US-FL
28161,PIH,Pocatello Regional Airport,"-112.59600067138672, 42.9098014831543",US-ID
28163,PIM,Harris County Airport,"-84.8824005127, 32.8406982422",US-GA
28164,PIR,Pierre Regional Airport,"-100.2860031, 44.38270187",US-SD
28165,PIT,Pittsburgh International Airport,"-80.23290253, 40.49150085",US-PA
28168,PKB,Mid Ohio Valley Regional Airport,"-81.43920135498047, 39.34510040283203",US-WV
28169,PKD,Park Rapids Municipal Konshok Field,"-95.073095, 46.9006",US-MN
28170,PKF,Park Falls Municipal Airport,"-90.42440032959, 45.955001831055",US-WI
28173,PLB,Clinton County Airport,"-73.52449798583984, 44.6875",US-NY
28175,PLK,M. Graham Clark Downtown Airport,"-93.22889709, 36.62590027",US-MO
28176,PLN,Pellston Regional Airport of Emmet County Airport,"-84.79669952, 45.57089996",US-MI
28177,PLR,St Clair County Airport,"-86.249099731445, 33.558799743652",US-AL
28179,PMB,Pembina Municipal Airport,"-97.2407989502, 48.9425010681",US-ND
28180,PMD,Palmdale Regional/USAF Plant 42 Airport,"-118.0849991, 34.62939835",US-CA
28181,PMH,Greater Portsmouth Regional Airport,"-82.84729766850002, 38.8404998779",US-OH
28182,PPM,Pompano Beach Airpark,"-80.111099243164, 26.247100830078",US-FL
28186,PWY,Ralph Wenz Field,"-109.8069992, 42.79550171",US-WY
28187,PNC,Ponca City Regional Airport,"-97.09980011, 36.73199844",US-OK
28188,PNE,Northeast Philadelphia Airport,"-75.010597, 40.081902",US-PA
28190,PNN,Princeton Municipal Airport,"-67.564399719238, 45.200698852539",US-ME
28191,PNS,Pensacola Regional Airport,"-87.186599731445, 30.473400115967",US-FL
28193,POB,Pope Field,"-79.014503479004, 35.1708984375",US-NC
28194,POC,Brackett Field,"-117.78199768066, 34.091598510742",US-CA
28195,POE,Polk Army Air Field,"-93.1917038, 31.0447998",US-LA
28196,POF,Poplar Bluff Municipal Airport,"-90.324897766113, 36.773899078369",US-MO
28198,POU,Dutchess County Airport,"-73.88420104980469, 41.6265983581543",US-NY
28200,POY,Powell Municipal Airport,"-108.79299926758, 44.867198944092",US-WY
28201,PPA,Perry Lefors Field,"-100.99600219727, 35.612998962402",US-TX
28202,PPF,Tri-City Airport,"-95.5062027, 37.32989883",US-KS
28203,LPO,La Porte Municipal Airport,"-86.73449707030001, 41.5724983215",US-IN
28205,PQI,Northern Maine Regional Airport at Presque Isle,"-68.0447998, 46.68899918",US-ME
28206,PGL,Trent Lott International Airport,"-88.529197692871, 30.462799072266",US-MS
28208,KPR,Port Williams Seaplane Base,"-152.582000732, 58.4901008606",US-AK
28209,PRB,Paso Robles Municipal Airport,"-120.6269989, 35.67290115",US-CA
28210,PRC,Ernest A. Love Field,"-112.4199982, 34.65449905",US-AZ
28213,PRO,Perry Municipal Airport,"-94.15989685, 41.82799911",US-IA
28215,PRX,Cox Field,"-95.450798034668, 33.636600494385",US-TX
28218,PSC,Tri Cities Airport,"-119.11900329589844, 46.26470184326172",US-WA
28220,PSK,New River Valley Airport,"-80.678497314453, 37.137298583984",US-VA
28221,PSM,Portsmouth International at Pease Airport,"-70.8233032227, 43.0778999329",US-NH
28222,PSN,Palestine Municipal Airport,"-95.706298828125, 31.779699325562",US-TX
28223,PGO,Stevens Field,"-107.0559998, 37.28630066",US-CO
28224,PSP,Palm Springs International Airport,"-116.50700378417969, 33.8297004699707",US-CA
28225,PSX,Palacios Municipal Airport,"-96.250999450684, 28.727500915527",US-TX
28226,PTB,Dinwiddie County Airport,"-77.507400512695, 37.183799743652",US-VA
28229,PTK,Oakland County International Airport,"-83.420097351074, 42.665500640869",US-MI
28230,PTN,Harry P Williams Memorial Airport,"-91.338996887207, 29.709499359131",US-LA
28232,PTT,Pratt Regional Airport,"-98.74690247, 37.70159912",US-KS
28233,PTV,Porterville Municipal Airport,"-119.06300354004, 36.029598236084",US-CA
28235,PUB,Pueblo Memorial Airport,"-104.49700164794922, 38.289100646972656",US-CO
28236,PUC,Carbon County Regional/Buck Davis Field,"-110.7509995, 39.61389923",US-UT
28238,PUW,Pullman Moscow Regional Airport,"-117.110001, 46.7439",US-WA
28240,PVC,Provincetown Municipal Airport,"-70.2213973999, 42.0718994141",US-MA
28241,PVD,Theodore Francis Green State Airport,"-71.42040252685547, 41.732601165771484",US-RI
28243,PVF,Placerville Airport,"-120.75299835205, 38.724201202393",US-CA
28246,PVU,Provo Municipal Airport,"-111.72299957275, 40.219200134277",US-UT
28247,PVW,Hale County Airport,"-101.71700286865, 34.168098449707",US-TX
28248,PVZ,Casement Airport,"-81.21920013430001, 41.73360061649999",US-OH
28249,PWA,Wiley Post Airport,"-97.64710236, 35.53419876",US-OK
28251,PWD,Sher-Wood Airport,"-104.53399658203, 48.790298461914",US-MT
28253,PWK,Chicago Executive Airport,"-87.901494, 42.114222",US-IL
28254,PWM,Portland International Jetport Airport,"-70.30930328, 43.64619827",US-ME
28255,PWT,Bremerton National Airport,"-122.76499938965, 47.490200042725",US-WA
28257,KPY,Port Bailey Seaplane Base,"-153.041000366, 57.930099487300005",US-AK
28264,KQA,Akutan Seaplane Base,"-165.778895617, 54.1337704415",US-AK
28483,RAC,John H Batten Airport,"-87.8152008057, 42.7606010437",US-WI
28484,RAL,Riverside Municipal Airport,"-117.4449997, 33.95190048",US-CA
28485,RAP,Rapid City Regional Airport,"-103.05699920654297, 44.0452995300293",US-SD
28488,RBD,Dallas Executive Airport,"-96.8682022095, 32.6809005737",US-TX
28490,RBG,Roseburg Regional Airport,"-123.356002808, 43.238800048799995",US-OR
28491,RBL,Red Bluff Municipal Airport,"-122.251998901, 40.1506996155",US-CA
28494,RBW,Lowcountry Regional Airport,"-80.6406021118, 32.921001434299995",US-SC
28495,RCA,Ellsworth Air Force Base,"-103.1039963, 44.14500046",US-SD
28496,RCK,H H Coffield Regional Airport,"-96.9897003174, 30.6315994263",US-TX
28499,RCR,Fulton County Airport,"-86.18170166019999, 41.065601348899996",US-IN
28500,RCT,Nartron Field,"-85.5167007446, 43.9000015259",US-MI
28503,RDD,Redding Municipal Airport,"-122.2929993, 40.50899887",US-CA
